Serial,HydraProbe Serial,Timestamp,Location,Latitude,Longitude,Points,Soil Moisture (wfv),Soil Moisture (%),Soil Temperature (°C),Soil Temperature (°F),Bulk EC (Raw),Bulk EC (TC),Pore Water EC,Pore Water EC Offset,Raw Real Dielectric,Raw Imaginary Dielectric,Loss Tangent,Memo,Soil Moisture Calibration,A,B,C,D,E,F
HG263181,263008,9/21/2022 9:48,Default,53.527999,-113.529486,1,0.135,13.5,23.5,74.3,0.15,0.16,2.6,3.4,8.3,5.5,0.66,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:50,Default,53.52799,-113.529485,2,0.093,9.3,23.3,73.9,0.09,0.09,2.5,3.4,6.2,3.2,0.52,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:50,Default,53.527997,-113.529494,3,0.07,7,23.3,73.9,0.06,0.06,2.6,3.4,5.2,2,0.38,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:51,Default,53.527991,-113.52949,4,0.067,6.7,23,73.4,0.05,0.05,2.3,3.4,5.1,1.9,0.37,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:51,Default,53.527991,-113.52949,5,0.053,5.3,23,73.4,0.04,0.04,2.9,3.4,4.5,1.5,0.33,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:52,Default,53.527999,-113.529492,6,0.1,10,23,73.4,0.09,0.1,2.5,3.4,6.6,3.4,0.52,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:53,Default,53.527991,-113.529461,7,0.091,9.1,23,73.4,0.09,0.09,2.5,3.4,6.2,3.1,0.5,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:53,Default,53.527997,-113.529483,8,0.126,12.6,23,73.4,0.15,0.15,2.7,3.4,7.8,5.4,0.69,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:54,Default,53.527991,-113.529461,9,0.198,19.8,23,73.4,0.31,0.32,3,3.4,11.9,11.1,0.93,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:55,Default,53.528,-113.529488,10,0.172,17.2,22.6,72.6,0.25,0.26,2.9,3.4,10.4,9.1,0.87,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:57,Default,53.527992,-113.529476,11,0.098,9.8,22.4,72.3,0.11,0.11,2.8,3.4,6.5,3.9,0.6,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:57,Default,53.527992,-113.529476,12,0.122,12.2,22.4,72.3,0.15,0.16,3,3.4,7.6,5.5,0.72,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:58,Default,53.527902,-113.529599,13,0.091,9.1,22.4,72.3,0.11,0.11,3.2,3.4,6.1,4,0.66,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:59,Default,53.527902,-113.529599,14,0.131,13.1,22.4,72.3,0.16,0.17,2.8,3.4,8.1,5.8,0.72,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 9:59,Default,53.527997,-113.529489,15,0.159,15.9,22.4,72.3,0.23,0.23,2.9,3.4,9.6,8.1,0.84,,Default,0,0,0,0,0,0
HG263181,263008,9/21/2022 10:00,Default,53.527994,-113.529477,16,0.177,17.7,22.4,72.3,0.27,0.28,3,3.4,10.7,9.8,0.92,,Default,0,0,0,0,0,0
